Mutation,ProteinExpressed,UnmutatedMean,UnmutatedStdDev,MutatedMean,MutatedStdDev,n,p_post_bonferroni
NPM1,PRRT4,8.244179,13.364479,1.142852,1.744175,48,0.000139
NPM1,IPW,4.511040,3.473208,1.415304,1.778058,48,0.000140
NPM1,CCND2,66.819612,48.719352,28.995723,21.083053,48,0.000145
NPM1,SLC38A10,29.941501,11.245590,43.475181,12.441561,48,0.000148
NPM1,CMTM8,1.691943,2.152216,0.436725,0.569056,48,0.000153
NPM1,ZNF721,8.422902,3.879330,4.247017,3.078848,48,0.000154
DNMT3A+NPM1,HOXB4,10.564240,14.361058,35.207087,11.743132,23,0.000158
NPM1,C20orf200,1.318909,4.079237,5.950460,7.509202,48,0.000167
NPM1,RADIL,0.714265,0.563544,0.303027,0.170196,48,0.000174
NPM1,C12orf75,15.688327,12.294565,6.008748,6.610254,48,0.000183
NPM1,C18orf1,6.400774,4.919443,2.241815,1.560449,48,0.000191
FLT3-ITD,CDRT1,0.071648,0.228781,0.338143,0.464719,37,0.000191
NPM1,REN,0.073144,0.409902,0.567844,1.115004,48,0.000193
NPM1,SERPINF1,17.764317,24.485001,4.366017,2.280384,48,0.000206
NPM1,SHANK3,22.690236,27.756604,4.479388,6.532504,48,0.000236
NPM1,UBXN2B,11.820728,4.269731,16.370171,4.634269,48,0.000241
NPM1,LOC400931,1.346930,1.775153,3.646973,3.224834,48,0.000246
NPM1,EEF1A2,0.972156,5.724701,3.071723,7.952473,48,0.000261
NPM1,SIDT1,4.283772,2.910459,1.893825,1.822004,48,0.000268
NPM1,C1orf21,3.710911,3.088422,1.159085,1.680000,48,0.000277
NPM1,ST8SIA6,6.333809,9.069012,18.485971,16.429710,48,0.000286
NPM1,JUP,64.373294,46.568569,24.025912,22.970059,48,0.000292
TP53,B3GALT5,0.004022,0.027420,0.384007,0.927012,14,0.000293
DNMT3A+NPM1,HOXB2,8.556292,10.127480,26.729261,11.731699,23,0.000300
NPM1,KIF3B,6.253146,1.489996,8.046194,1.948622,48,0.000304
NPM1,SNORD109A,1.896346,1.717737,0.443083,0.724328,48,0.000307
NPM1,ESAM,7.636731,8.836468,1.851194,2.582044,48,0.000308
NPM1,CT45A4,0.008097,0.051543,0.079373,0.150133,48,0.000324
NPM1,ACR,0.564224,0.725998,0.090869,0.125375,48,0.000352
NPM1,TRIB2,5.059993,6.752398,1.628265,2.022042,48,0.000364
NPM1,SAGE1,0.494138,2.462288,3.272158,5.025971,48,0.000364
NPM1+FLT3-ITD,REN,0.085241,0.399269,1.223589,1.499510,19,0.000381
NPM1,SLC24A5,0.743271,1.020103,0.113996,0.265997,48,0.000382
NPM1,PLXND1,66.110350,25.786573,38.890838,19.579702,48,0.000383
NPM1,FAM131A,2.032243,0.836064,2.936829,0.720887,48,0.000392
NPM1,MREG,2.218899,2.371182,0.528160,0.606031,48,0.000392
DNMT3A+NPM1,FGF10,0.587242,2.854724,2.817870,3.250040,23,0.000406
NPM1,MEF2A,26.979459,12.076661,15.742163,6.092214,48,0.000417
DNMT3A+NPM1,HOXB6,3.254763,5.789656,14.200713,8.869151,23,0.000417
NPM1,CT45A2,0.019465,0.130689,0.101944,0.168662,48,0.000449
NPM1,AXL,0.990950,1.254685,0.234044,0.320157,48,0.000463
NPM1+FLT3-ITD,FAM47E,0.439834,1.142466,3.410795,3.425080,19,0.000469
NPM1,FMNL3,6.850650,4.642554,3.230967,1.645447,48,0.000473
NPM1,SLCO5A1,2.288256,3.672314,0.106454,0.252136,48,0.000473
NPM1,ABCA11P,3.468939,1.839342,1.555019,1.548378,48,0.000482
NPM1,C8orf56,1.027991,1.281606,0.102473,0.147359,48,0.000495
NPM1,STK24,23.103184,8.185171,15.697108,5.355626,48,0.000514
TP53,ZNF560,0.087191,0.415862,3.025586,2.669468,14,0.000521
NPM1,SCN1B,1.629646,2.423248,0.454315,0.431241,48,0.000524
FLT3-ITD,FAM64A,2.056059,2.210381,0.485578,0.784571,37,0.000537
NPM1,PCBD1,18.785355,9.745724,29.770235,12.199124,48,0.000570
NPM1,SPRY1,9.787736,11.566568,2.647885,4.976212,48,0.000582
NPM1,USP13,4.206994,2.056602,2.423681,0.987962,48,0.000645
NPM1,EMR1,10.794719,15.067376,29.004863,26.123677,48,0.000658
NPM1,PAQR8,6.151338,3.702856,11.590079,6.085048,48,0.000672
DNMT3A+NPM1,LRRC2,0.296939,0.508522,0.018774,0.022430,23,0.000691
DNMT3A+NPM1,HOXB3,17.634674,26.181613,61.148148,22.920050,23,0.000705
NPM1,KRT1,1.072209,2.157889,0.200233,0.570757,48,0.000715
FLT3+DNMT3A,LCE1B,0.000394,0.005108,0.006717,0.012379,6,0.000724
DNMT3A+NPM1,HOXB5,3.640708,5.735811,16.330013,13.508213,23,0.000746
NPM1,SLC2A4,0.613911,0.737850,0.168277,0.340996,48,0.000760
NPM1,TBXAS1,39.728083,21.167601,68.925208,30.497252,48,0.000776
DNMT3A+NPM1,PBX3,24.670681,26.811316,65.642878,20.432580,23,0.000829
NPM1,EFNB1,4.825846,3.753305,1.972190,1.365005,48,0.000843
RUNX1,OPALIN,0.479614,1.384416,10.196556,10.737308,16,0.000871
TP53,GALNT13,0.021124,0.213911,0.059114,0.096891,14,0.000933
NPM1,EPB41L1,0.203709,0.257751,0.059369,0.082670,48,0.000934
NPM1,MYEF2,2.921834,3.806691,0.474948,1.122692,48,0.000973
NPM1,AKAP2,19.682438,12.108751,8.470367,5.953555,48,0.000993
NPM1,PALM2-AKAP2,15.807865,9.724545,6.805590,4.784712,48,0.000993
